"riskPathId","exerciseStableKey","evaluationApplicability","rawSourceValue","rawValuePresent","fallbackTriggered","fallbackInput","fallbackOutput","currentEffectiveValueOrRelation","affectedConsumer","affectedAnalysis","baselineObservableOutput","counterfactualAvailable","outputWithoutFallback","actualOutputDifference","reviewClassification","evidence","notes"
"META-ACTIVITY-NAME-FALLBACK","band_lift","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
"META-ACTIVITY-NAME-FALLBACK","band_woodchop","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
"META-ACTIVITY-NAME-FALLBACK","barbell_back_squat","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
"META-ACTIVITY-NAME-FALLBACK","barbell_bench_press","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
"META-ACTIVITY-NAME-FALLBACK","barbell_deadlift","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
"META-ACTIVITY-NAME-FALLBACK","barbell_romanian_deadlift","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
"META-ACTIVITY-NAME-FALLBACK","cable_lift","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
"META-ACTIVITY-NAME-FALLBACK","cable_woodchop","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
"META-ACTIVITY-NAME-FALLBACK","dumbbell_romanian_deadlift","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
"META-ACTIVITY-NAME-FALLBACK","dumbbell_woodchop","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
"META-ACTIVITY-NAME-FALLBACK","ex_1052e9fa","APPLICABLE","EXERCISE","TRUE","FALSE","EXERCISE","","EXERCISE","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","program generation","ANALYSIS_CONTRACT_BASELINE_V1_UNCHANGED","FALSE","UNAVAILABLE","UNOBSERVABLE","NOT_TRIGGERED_FOR_BUILT_INS","Exact stableKey and checked-in source value",""
