slot,exerciseName,stableKey,credit,primary,secondary,weak,source,confidence,warnings
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","덤벨 숄더프레스","ex_79f3bdbe","FULL","ATHLETIC_OVERHEAD_PRESS_SUPPORT","ACCESSORY_ROTATION|SCAPULAR_SHOULDER_SUPPORT","","RUNTIME_METADATA","HIGH",""
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","등받이 없는 덤벨 시티드 숄더프레스","ex_bb4b4276","FULL","ATHLETIC_OVERHEAD_PRESS_SUPPORT","ACCESSORY_ROTATION|SCAPULAR_SHOULDER_SUPPORT","","RUNTIME_METADATA","HIGH",""
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","머신 숄더프레스","ex_4aa3725a","FULL","ATHLETIC_OVERHEAD_PRESS_SUPPORT","ACCESSORY_ROTATION|SCAPULAR_SHOULDER_SUPPORT","","RUNTIME_METADATA","HIGH",""
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","아놀드 프레스","ex_767e188e","FULL","ATHLETIC_OVERHEAD_PRESS_SUPPORT","ACCESSORY_ROTATION|SCAPULAR_SHOULDER_SUPPORT","","RUNTIME_METADATA","HIGH",""
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","오버헤드 프레스","ex_32219f7a","FULL","ATHLETIC_OVERHEAD_PRESS_SUPPORT","ACCESSORY_ROTATION|SCAPULAR_SHOULDER_SUPPORT","","RUNTIME_METADATA","HIGH",""
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","원암 덤벨 숄더프레스","ex_7814843a","FULL","ATHLETIC_OVERHEAD_PRESS_SUPPORT","ACCESSORY_ROTATION|SCAPULAR_SHOULDER_SUPPORT","","RUNTIME_METADATA","HIGH",""
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","원암 케이블 숄더프레스","ex_c536edc2","FULL","ATHLETIC_OVERHEAD_PRESS_SUPPORT","ACCESSORY_ROTATION|SCAPULAR_SHOULDER_SUPPORT","","RUNTIME_METADATA","HIGH",""
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","파이크 푸시업","ex_3caa236b","FULL","ATHLETIC_OVERHEAD_PRESS_SUPPORT","UPPER_PUSH_SUPPORT|SCAPULAR_SHOULDER_SUPPORT","","RUNTIME_METADATA","HIGH",""
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","핸드스탠드 푸시업","ex_fa2e73b3","FULL","ATHLETIC_OVERHEAD_PRESS_SUPPORT","UPPER_PUSH_SUPPORT|SCAPULAR_SHOULDER_SUPPORT","","RUNTIME_METADATA","HIGH",""
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","원암 하프 닐링 프레스","ex_8380d7fe","FULL","ATHLETIC_OVERHEAD_PRESS_SUPPORT","TRUNK_ANTI_ROTATION_STABILITY|SCAPULAR_SHOULDER_SUPPORT","","RUNTIME_METADATA","HIGH",""
